sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-9WR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2166,14/06/2024 07:23,202.15,0,20.1,104,0,41,20,160,200,19.7,17.1,16,13,29,0,376,63.19126063,14.6600499,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19072301,14.65919176,364.2000122,7252.470215,146,6.821000099,42,605,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,208.14,0,20.1,104,0,44,20,160,170,19.7,16.6,17,14,31,0,376,63.19130229,14.66012542,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19076157,14.65930165,364.2000122,7259.339844,149,6.829999924,42,608,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,214.76,0,20.1,114,0,47,20,160,170,22.7,16.6,18,16,34,0,375,63.19133758,14.66023179,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19080759,14.65940692,364.2000122,7265.810059,151,6.933000088,42,658,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,221.35,0,22.2,120,0,71,22,170,140,24.2,15.8,18,19,37,0,375,63.19138175,14.66031955,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19084405,14.65948043,364.2000122,7271.930176,154,6.933000088,42,659,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,227.19,0,20.9,120,0,69,23,120,130,12.9,14.6,16,19,35,0,375,63.19141787,14.66040395,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19088722,14.65957096,364.2000122,7278.430176,155,6.848999977,42,615,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,233.91,0,21.8,120,0,64,24,120,170,15.1,20,15,18,33,0,374,63.19145937,14.66050127,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19093105,14.65964715,364.2000122,7284.790039,156,5.263000011,42,484,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,240.7,0,21.8,120,0,64,25,130,120,15.9,11.3,17,16,33,0,374,63.1915027,14.66059682,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.1909733,14.65972946,364,7291.259766,157,5.263000011,42,504,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,246.99,0,21.8,116,0,47,26,170,120,21.9,12.7,18,14,32,0,373,63.19154067,14.66068994,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19101848,14.65981294,364,7297.77002,158,5.355999947,42,521,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,253.04,0,20,116,0,48,26,140,120,16.7,12.7,19,14,33,0,373,63.19157763,14.66077829,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.19106692,14.65988788,364.2000122,7304.399902,159,5.448999882,42,526,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2166,14/06/2024 07:23,258.54,0,21,116,0,64,28,150,120,20.1,11.8,19,14,33,0,373,63.19161208,14.66085699,,Running,2024-06-14T06:47:00.000Z,2024-06-14T07:13:00.000Z,796.233,1000,7.212999821,60,118,180,Active,Manual,14/06/2024 07:23,63.1911199,14.65996365,364.2000122,7311.390137,159,6.251999855,42,638,1.256000042,10,109,106,700,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
