sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Kolumn1,Unnamed: 40,Unnamed: 41,Unnamed: 42,RowColor,Lap,Gear,Gear2
2107,04/06/2024 13:36,157.69,0,19.5,86,150,65,22,130,130,8.3,10,14,12,26,0,359,63.19071975,14.65902664,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5538.75,143,5.383999825,36,496,63.19067038,14.65883603,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.4524422,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,163.11,0,19.9,85,154,64,23,190,140,15.7,10.4,14,12,26,0,359,63.1907485,14.6591128,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.2000122,5543.459961,146,5.383999825,36,489,63.19069142,14.65891499,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.529563,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,168.34,0,19.8,82,158,64,24,130,140,8.4,10.1,14,11,25,0,360,63.1907759,14.65919662,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.3999939,5549.22998,150,5.309000015,36,467,63.1907179,14.6590123,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.596401,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,173.56,0,18.9,75,161,49,25,190,140,14.7,12.5,14,10,24,0,361,63.1908039,14.65927985,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5555.27002,154,5.252999783,35,458,63.19074439,14.65911574,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.6529563,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,178.81,0,17.4,64,168,52,26,110,110,6.8,6.5,14,8,22,0,363,63.19084003,14.65934549,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5561.319824,158,5.252999783,35,452,63.1907759,14.65921129,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7017995,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,183.72,0,16.7,61,170,52,26,170,110,13.8,6.5,14,8,22,0,363,63.19087456,14.65940583,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5566.120117,160,5.374000072,34,440,63.19080315,14.65929159,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7403599,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,188.05,0,16.4,61,173,28,28,170,110,13.9,7.5,14,8,22,0,363,63.19090188,14.65946727,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5571.620117,167,5.40199995,34,435,63.19083718,14.65936963,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7712082,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,192.87,0,16.2,61,173,28,28,170,110,13.9,7.5,13,8,21,0,363,63.19093265,14.65953475,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5576.620117,171,5.40199995,34,435,63.1908733,14.65943551,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.781491,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,198.66,0,18.4,61,174,33,28,150,0,12.5,0,13,8,21,0,363,63.19097363,14.65960541,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5581.419922,173,5.393000126,33,428,63.19090767,14.65948882,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7789203,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,204.55,0,20,61,175,63,30,140,140,9.9,10.7,13,7,20,0,363,63.19101898,14.65966584,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5585.740234,173,5.346000195,33,410,63.19093692,14.65954699,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7712082,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,210.16,0,19.4,61,175,45,30,140,110,10.6,6.1,13,6,19,0,365,63.19106081,14.65972787,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5590.47998,174,5.281000137,33,408,63.19096869,14.65960658,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7609254,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,215.56,0,18.5,53,175,48,31,160,110,11.8,6.1,12,5,17,0,365,63.19110146,14.65978646,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.6000061,5595.810059,175,5.197000027,33,405,63.19100934,14.65966978,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.7455013,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,220.92,0,18.3,52,176,0,32,140,110,10.9,6.2,12,5,17,0,365,63.19113985,14.65985008,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5601.910156,175,5.151000023,33,405,63.19105309,14.65973851,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.722365,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,226.28,0,18.4,51,176,0,32,140,110,10.9,6.2,11,5,16,0,365,63.19117547,14.65992199,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5607.319824,175,5.151000023,34,410,63.19109182,14.65979241,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.6966581,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,231.23,0,17.8,49,176,0,32,170,0,14,0,12,5,17,0,365,63.19120816,14.65998896,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5612.180176,176,5.169000149,34,423,63.19112853,14.65984672,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.6683805,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,235.89,0,17.3,49,175,0,32,170,0,14,0,12,5,17,0,365,63.19123783,14.66005459,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5617.25,176,5.169000149,33,424,63.19116541,14.65990934,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.6323907,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,240.84,0,17.5,47,175,0,33,180,0,13.5,0,11,5,16,0,364,63.19126834,14.66012643,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5622.649902,176,5.159999847,33,425,63.19120179,14.6599815,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.5912596,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,245.43,0,17.8,47,175,0,34,120,0,10,0,11,5,16,0,364,63.19129307,14.6601991,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,361.7999878,5627.939941,175,5.140999794,33,414,63.19123775,14.66004856,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.5475578,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,250.55,0,17.8,47,175,0,34,120,0,10,0,10,5,15,0,364,63.19132064,14.66028065,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362,5632.509766,175,5.140999794,33,397,63.19126784,14.66011394,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.4935733,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,256.19,0,18.8,47,175,0,34,140,0,10.2,0,9,6,15,0,363,63.19135543,14.66036238,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362,5636.819824,175,5.140999794,33,390,63.19129349,14.66018041,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.4344473,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,261.41,0,19.1,47,174,0,34,140,130,10.2,10.1,9,7,16,0,363,63.19138569,14.66044134,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362,5641.779785,175,5.085000038,33,393,63.19132207,14.66025685,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.3701799,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,266.38,0,19.2,47,175,0,35,140,130,10.4,10.1,9,6,15,0,363,63.1914079,14.66052683,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.2000122,5647.169922,175,5.019999981,33,398,63.19134856,14.66033782,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.3033419,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,271.23,0,19.1,48,175,0,35,140,0,10.4,0,9,5,14,0,361,63.19143137,14.66060772,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.2000122,5652.439941,174,5.000999928,33,397,63.19137957,14.6604156,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.2339332,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,276.07,0,18.6,48,175,0,36,130,0,9.3,0,9,6,15,0,360,63.19146012,14.66068014,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.3999939,5657.509766,175,5.000999928,33,399,63.19140882,14.66049573,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.1619537,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,280.66,0,18.5,52,175,49,36,130,110,9.3,6.7,10,7,17,0,360,63.19148845,14.6607466,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.3999939,5663.089844,175,5.011000156,33,398,63.19144369,14.66057695,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.0848329,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,285.66,0,18.6,53,175,28,37,170,110,13.2,5.9,10,7,17,0,360,63.19151804,14.66082171,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.3999939,5668.819824,175,5.011000156,33,400,63.19147655,14.66066538,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,182.0102828,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,290.43,0,17.9,57,175,28,38,150,110,10.9,5.9,11,8,19,0,360,63.19155031,14.66088281,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.6000061,5674.040039,175,5.039000034,33,402,63.19151175,14.6607451,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.9485861,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,295.21,0,17.4,58,175,0,38,150,0,10.9,0,13,7,20,0,362,63.1915861,14.66093536,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.6000061,5679.890137,175,5.076000214,33,404,63.19154511,14.66082422,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.8817481,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,300.74,0,18.3,58,175,0,38,200,130,18.9,11.1,13,6,19,0,364,63.1916296,14.66098851,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.6000061,5684.47998,175,5.076000214,33,402,63.19157219,14.66089136,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.81491,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,306.82,0,19.5,58,175,0,38,200,130,18.9,11.1,13,5,18,0,364,63.19167864,14.66104181,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.7999878,5689.120117,175,5.076000214,33,406,63.19160177,14.66095816,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.748072,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,312.62,0,19.3,58,175,0,39,180,0,13.5,0,12,5,17,0,364,63.1917265,14.6610875,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,362.7999878,5694.129883,175,5.076000214,33,404,63.19163572,14.66102622,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.6812339,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,317.75,0,18.8,60,175,0,39,180,0,13.5,0,12,7,19,0,364,63.19176899,14.66112714,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363.2000122,5699.870117,175,5.066999912,33,403,63.1916778,14.66108565,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.6143959,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,323.67,0,18.5,61,175,63,40,130,130,9.8,11.4,13,9,22,0,363,63.1918161,14.66118221,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363.2000122,5705.879883,175,5.066999912,33,406,63.19172348,14.66114785,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.5398458,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,329.65,0,18.4,61,176,64,41,160,120,14.4,9.6,13,9,22,0,363,63.19186388,14.66123653,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363.2000122,5710.660156,175,5.076000214,33,412,63.19176455,14.6611823,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.4575835,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,334.34,0,18.3,61,176,47,42,190,110,16.1,6.5,12,8,20,0,362,63.19190009,14.66128388,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363.2000122,5715.950195,175,5.09499979,34,437,63.19181065,14.66122957,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.3650386,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,338.87,0,17.3,52,176,46,42,110,110,6.9,6.5,11,7,18,0,361,63.19193512,14.66132965,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363.2000122,5721.25,177,5.09499979,34,436,63.19185524,14.66126553,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.2750643,,,,FFFFFF,1,3,3
2107,04/06/2024 13:36,343.64,0,17.2,52,177,39,44,150,130,10.3,8.8,11,6,17,0,361,63.19197125,14.66138036,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:36,363,5726.589844,176,5.104000092,34,433,63.191899,14.66131146,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.1773779,,,,FFFFFF,1,3,3
2107,04/06/2024 13:37,347.76,0,18.7,52,177,0,44,140,130,10.3,8.8,10,6,16,0,361,63.1920005,14.66143082,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:37,363,5731.97998,177,5.112999916,34,428,63.19194308,14.66135387,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,181.059126,,,,FFFFFF,1,3,3
2107,04/06/2024 13:37,353.01,0,19.4,52,177,0,44,140,0,10.3,0,10,6,16,0,360,63.19203881,14.66149184,,Running,2024-06-04T12:55:56.000Z,2024-06-04T13:36:02.000Z,260.597,1000,6.829999924,58,177,192,Active,Manual,04/06/2024 13:37,363,5737.5,176,5.112999916,34,424,63.19198801,14.6614009,3.836999893,36,69,395,636,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,180.9280206,,,,FFFFFF,1,3,3
