sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-15NR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2420,06/09/2024 14:31,49.16,0,23.4,177,0,71,5,230,190,22.6,17.7,28,26,54,0,370,63.19050483,14.65828618,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15115.78027,139,4.580999851,59,539,63.19045345,14.65828769,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,178.2195122,187,FFFFFF,1,2.0R,2
2420,06/09/2024 14:31,56.34,0,23.4,176,0,76,6,180,210,16.6,20.8,24,21,45,0,370,63.19054607,14.65839615,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15115.78027,139,4.580999851,59,539,63.19045345,14.65828769,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,178.2195122,187,FFFFFF,1,2.0R,2
2420,06/09/2024 14:31,62.68,0,23.4,148,0,66,7,200,170,17.5,16.5,20,18,38,0,370,63.19057767,14.65850134,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15122.33984,141,4.787000179,55,626,63.19048857,14.65839783,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,67.65,0,23,130,0,67,8,160,160,13.1,14.7,18,16,34,0,370,63.19060056,14.65858659,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15129.05957,142,5.374000072,44,634,63.19052109,14.6585047,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,74.29,0,22.6,120,0,66,10,190,150,16.4,12.2,17,15,32,0,370,63.19063936,14.65868717,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15135.76953,145,6.084000111,44,705,63.19055588,14.65860897,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,79.76,0,22.4,112,0,66,10,170,160,13.8,14.6,16,14,30,0,370,63.19067189,14.65876915,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365,15142.08984,148,6.597000122,44,839,63.19058983,14.65872112,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,86.11,0,23.2,108,0,64,12,190,150,15.3,11.2,15,13,28,0,370,63.19070055,14.65887845,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365.2000122,15148.79004,151,6.597000122,44,846,63.1906252,14.6588279,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,93.29,0,23.2,108,0,63,13,170,130,12,9.3,14,13,27,0,371,63.19073576,14.65899856,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365,15155.54004,153,6.586999893,34,677,63.19065755,14.65893276,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,100.19,0,23.5,108,0,69,14,160,150,12,11.1,14,13,27,0,371,63.19077632,14.65910275,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365,15161.91992,156,6.559000015,34,676,63.190691,14.65903024,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2420,06/09/2024 14:31,107.13,0,24.3,113,0,64,15,150,160,10.7,12.1,14,14,28,0,371,63.19078412,14.65924004,,Running,2024-09-06T12:52:25.000Z,2024-09-06T14:18:48.000Z,796.568,1000,6.597000122,64,127,172,Active,Manual,06/09/2024 14:31,365,15168.04004,159,6.559000015,25,465,63.1907267,14.65913569,1.254999995,17,126,64,846,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
