sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-20NR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2466,18/09/2024 08:08,175.73,0,28.3,238,0,71,24,200,170,21.8,24.2,25,29,54,0,357,63.19098436,14.65962117,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,361.7999878,6021.490234,136,7.800000191,36,737,63.19072955,14.65900878,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,184.02,0,24.6,222,0,71,26,180,190,20.4,31.3,24,30,54,0,357,63.19104739,14.6597096,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,361.7999878,6029.859863,138,7.800000191,36,735,63.1907754,14.65914055,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,191.15,0,26.7,221,0,71,27,140,190,15.5,31.8,22,28,50,0,359,63.1910966,14.65980062,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,361.7999878,6037.870117,138,7.986999989,36,749,63.19082226,14.65925898,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,198.94,0,27.4,196,0,57,28,170,180,18.9,21.5,20,23,43,0,360,63.19115074,14.65989911,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,361.7999878,6045.319824,140,8.118000031,36,718,63.19087221,14.65935948,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,206.66,0,24.3,156,0,41,28,180,180,18.3,21.5,20,18,38,0,361,63.19120246,14.66000162,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362,6052.200195,145,8.118000031,36,726,63.19091446,14.65945629,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,214.25,0,27.5,156,0,41,30,220,190,31.3,22.1,19,15,34,0,361,63.19124646,14.66011737,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362,6059.5,148,7.931000233,36,670,63.190965,14.65955134,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,221.32,0,26.4,156,0,40,30,220,210,31.3,21.4,20,15,35,0,361,63.19128779,14.66022458,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.2000122,6066.910156,151,7.688000202,36,627,63.19102082,14.6596407,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,228.54,0,27.1,163,0,41,30,200,210,25.3,21.4,20,16,36,0,361,63.19132701,14.66033924,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.2000122,6074.680176,154,7.605000019,36,614,63.19107832,14.65972569,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,236.19,0,25.5,166,0,43,32,200,190,26.8,21.5,22,17,39,0,361,63.19136817,14.66046154,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.3999939,6082.399902,154,7.175000191,36,541,63.1911323,14.65982099,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,242.9,0,26.2,166,0,40,32,220,220,28.4,27.4,22,17,39,0,360,63.19141578,14.66054401,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,362.3999939,6089.299805,156,6.521999836,41,533,63.19118226,14.65990758,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
