sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2163,12/06/2024 07:30,416.31,0,12.4,214,0,44,17,180,230,28.8,37.2,33,37,70,0,372,63.19259495,14.66317358,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.3999939,7407,149,7.725999832,26,705,63.19069217,14.65933836,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,420.13,0,19.9,203,0,44,18,180,790,28.3,141.5,31,48,79,0,372,63.19259226,14.66324927,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,363.6000061,7414.560059,152,7.613999844,26,674,63.19075453,14.65940315,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,425.31,0,18.1,217,0,34,18,170,790,28.2,141.5,31,41,72,0,373,63.19259084,14.66335237,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.2000122,7422.140137,156,7.651000023,21,548,63.1908153,14.65947641,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,430.97,0,19.9,217,0,32,19,210,0,36.4,0,32,29,61,0,373,63.19258975,14.66346393,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.3999939,7429.330078,160,7.659999847,21,489,63.19087272,14.65953215,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,436.69,0,20.5,217,0,65,20,210,210,32.1,39.9,33,31,64,0,373,63.19258824,14.66357726,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.3999939,7437.029785,167,7.659999847,18,482,63.19093156,14.65960021,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,441.79,0,17.1,218,0,66,21,220,210,30.6,35.2,33,39,72,0,373,63.19258765,14.66367893,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.6000061,7444.350098,172,7.735000134,22,589,63.19098763,14.6596764,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,446.31,0,21.9,226,0,68,22,180,210,22.5,44.8,32,43,75,0,373,63.19258765,14.66376912,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.7999878,7452.370117,172,7.613999844,22,564,63.19104781,14.65975486,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,452.96,0,19.9,226,0,69,24,170,210,20.4,38.1,31,42,73,0,373,63.19256729,14.66389384,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.6000061,7460.589844,173,7.771999836,22,599,63.19110733,14.6598453,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,457.36,0,19.9,226,0,65,24,190,220,29.9,33.4,29,39,68,0,374,63.19256435,14.66398126,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.2000122,7468.359863,173,7.809999943,22,612,63.19116231,14.65994488,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2163,12/06/2024 07:30,463.2,0,19.9,219,0,66,26,170,210,21.4,36.4,28,38,66,0,374,63.19254608,14.6640904,,Running,2024-06-12T06:49:15.000Z,2024-06-12T07:22:14.000Z,596.347,1000,8.043000221,52,125,182,Active,Manual,12/06/2024 07:30,364.2000122,7476.100098,174,7.967999935,22,638,63.19121067,14.66004982,1.677000046,11,116,96,1299,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
