sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None
2120,1717658814,0.0,0.0,0.6,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,63.19027156569064,14.657656364142895,
2120,1717658815,0.4,0.0,0.6,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,365.0,63.19027156569064,14.657656447961926,
2120,1717658816,0.94,0.0,1.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,13.0,0.0,365.0,63.19027156569064,14.657657789066434,
2120,1717658817,1.2,0.0,0.8,4.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,32.0,0.0,364.0,63.19026930257678,14.657657789066434,
2120,1717658818,1.46,0.0,0.7,6.0,69.0,38.0,0.0,0.0,280.0,0.0,23.4,24.0,27.0,51.0,0.0,364.0,63.190269051119685,14.657659297809005,
2120,1717658819,1.62,0.0,0.7,6.0,69.0,62.0,2.0,320.0,330.0,28.3,32.6,28.0,29.0,57.0,0.0,364.0,63.190269051119685,14.657661560922861,
2120,1717658820,1.78,0.0,0.8,6.0,71.0,0.0,3.0,340.0,300.0,28.4,26.1,22.0,21.0,43.0,0.0,364.0,63.190269051119685,14.65766390785575,
2120,1717658821,1.94,0.0,0.9,3.0,74.0,0.0,3.0,340.0,300.0,28.4,26.1,12.0,10.0,22.0,0.0,364.0,63.190270056948066,14.657666170969605,
2120,1717658822,2.1,0.0,1.0,1.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,364.0,63.190271062776446,14.657668517902493,
2120,1717658823,2.26,0.0,1.1,0.0,77.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027206860483,14.65767078101635,
2120,1717658824,2.42,0.0,1.2,0.0,80.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027307443321,14.657673127949238,
2120,1717658825,2.58,0.0,1.3,0.0,83.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027408026159,14.657675391063094,
2120,1717658826,2.74,0.0,1.4,0.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027500227094,14.657677737995982,
2120,1717658827,3.12,0.0,0.9,0.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027818739414,14.657678492367268,
2120,1717658828,3.46,0.0,0.8,0.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027818739414,14.657678492367268,
2120,1717658829,3.83,0.0,0.7,0.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,63.19027818739414,14.657678492367268,
2120,1717658830,4.21,0.0,0.7,0.0,78.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,63.19027508608997,14.657675307244062,
2120,1717658831,4.58,0.0,0.7,0.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,63.19027206860483,14.657672122120857,
2120,1717658832,4.96,0.0,0.6,0.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,63.19026896730065,14.657669020816684,
2120,1717658833,5.33,0.0,0.6,0.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,63.19026594981551,14.657665835693479,
2120,1717658834,5.71,0.0,0.5,0.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,63.19026284851134,14.657662650570273,
2120,1717658835,7.19,0.0,2.0,0.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,63.19024960510433,14.657659968361259,
2120,1717658836,8.68,0.0,0.8,0.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,63.190236361697316,14.657655274495482,
2120,1717658837,9.42,0.0,0.8,0.0,78.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,63.19023015908897,14.657650329172611,
