sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2160,12/06/2024 08:27,199.46,0,27.9,251,0,61,27,190,150,21.3,21.4,21,33,54,0,364,63.19138569,14.66046774,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.3999939,19186.57031,138,7.837999821,34,813,63.19072855,14.6594034,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,206.89,0,25.7,246,0,66,28,150,200,12.3,32.1,21,31,52,0,364,63.19142944,14.66057989,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.3999939,19194.86914,142,7.837999821,35,808,63.19079292,14.65950365,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,214,0,26.1,237,0,67,29,200,200,26.7,25.8,22,32,54,0,364,63.19146448,14.66069832,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.3999939,19203.4707,144,7.967999935,35,827,63.19085713,14.65959342,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,221.55,0,26.4,235,0,62,30,180,190,15.6,32.3,23,33,56,0,364,63.19150815,14.66081374,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.6000061,19211.83008,149,8.182999611,36,869,63.19092359,14.65966903,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,228.28,0,25,235,0,63,31,200,200,24.4,26,23,34,57,0,365,63.19155165,14.66090703,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.6000061,19220.33008,157,8.406999588,38,925,63.19098487,14.65975117,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,235.84,0,24.8,231,0,59,32,190,210,21.1,42.3,23,33,56,0,365,63.19160429,14.66100242,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.6000061,19228.2793,162,8.416000366,37,911,63.19104387,14.65982082,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,242.52,0,24.8,198,0,62,33,190,190,26.7,31.9,20,28,48,0,365,63.19165726,14.66106537,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19235.41016,163,8.425999641,37,915,63.19110322,14.65989148,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,249.75,0,25,158,0,36,34,210,210,21.8,29,17,21,38,0,365,63.19171074,14.66114734,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19242.93945,165,8.350999832,36,849,63.19116047,14.6599603,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,256.99,0,25.9,144,0,36,34,210,210,24.6,29,16,17,33,0,366,63.19176891,14.66121214,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19250.24023,166,8.098999977,35,780,63.19121562,14.66004822,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,263.73,0,24.6,144,0,36,35,210,190,24.6,24.5,16,17,33,0,366,63.19182398,14.66126863,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19257.83008,166,7.995999813,35,771,63.19126046,14.66014738,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,270.95,0,24.7,144,0,38,36,240,230,28.6,32.5,17,18,35,0,367,63.19188056,14.66133904,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19265.2793,167,7.894000053,26,586,63.19130715,14.6602649,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,277.85,0,25.1,144,0,38,36,240,230,28.6,32.5,18,18,36,0,367,63.19193739,14.66139411,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19272.80078,168,7.828000069,23,534,63.19134965,14.66036615,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,285.36,0,25.3,145,0,37,37,220,210,28.6,27.6,17,18,35,0,367,63.19199145,14.66148396,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19279.36914,168,7.782000065,27,593,63.19139248,14.66048216,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,292.17,0,23.3,145,0,37,38,220,220,25.8,30.6,16,19,35,0,367,63.19204643,14.66154389,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19287.40039,169,7.558000088,22,493,63.19144168,14.66060587,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2160,12/06/2024 08:27,298.88,0,23.5,141,0,37,38,220,220,25.8,30.6,16,21,37,0,367,63.19210184,14.66159645,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19294.92969,169,6.251999855,38,660,63.19147772,14.66069514,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,305.09,0,22.2,141,0,39,39,210,230,23.2,36.3,16,22,38,0,367,63.19215003,14.66165931,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.7999878,19301.41992,169,6.251999855,33,576,63.19152315,14.66081265,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,311.31,0,21.7,145,0,39,39,210,230,23.2,36.3,17,22,39,0,367,63.19220024,14.66171396,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365,19309.13086,169,7.034999847,47,882,63.19156607,14.66090092,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,318.04,0,23.1,146,0,36,40,220,250,28.4,35.7,17,21,38,0,367,63.1922476,14.66179753,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.7999878,19315.41992,169,7.063000202,36,699,63.19161301,14.66099546,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,324.78,0,23.7,146,0,37,41,230,240,24.8,31.7,17,20,37,0,367,63.19229663,14.6618764,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,364.7999878,19322.85938,169,7.063000202,36,756,63.19166237,14.66107115,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2160,12/06/2024 08:27,328.03,0,23.7,146,0,37,41,230,240,24.8,31.7,18,19,37,0,367,63.19232136,14.66191093,,Running,2024-06-12T06:49:15.000Z,2024-06-12T08:18:58.000Z,660.782,1000,8.425999641,47,124,178,Active,Manual,12/06/2024 08:27,365.2000122,19329.19922,169,7.315000057,34,739,63.19171434,14.66114164,1.513000011,13,91,159,925,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
