sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = None,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,RowColor,Lap,Gear,Gear2
2113,04/06/2024 14:39,196.78,0,16.5,41,148,0,20,140,110,9.4,6.6,10,5,15,0,358,63.19073617,14.65910627,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363,14103.48047,142,5.710000038,36,488,63.19062084,14.658787,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,200.74,0,16.5,41,152,0,20,140,110,9.4,6.6,10,4,14,0,356,63.19075579,14.65917206,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363,14108.9502,145,5.691999912,36,504,63.19065043,14.65887124,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,206.23,0,16.5,41,153,34,20,130,0,8,0,9,4,13,0,355,63.19077616,14.65927189,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.7999878,14113.82031,150,5.541999817,35,457,63.19067876,14.65894575,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,211.05,0,17.9,42,154,0,20,110,0,5.8,0,9,5,14,0,355,63.19080273,14.65934792,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.7999878,14118.61035,151,5.486000061,35,445,63.19070441,14.65902035,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,216.81,0,16.6,47,158,34,21,110,120,5.8,8.2,11,6,17,0,355,63.19084011,14.65942746,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.6000061,14123.2002,153,5.486000061,35,433,63.19072754,14.6591009,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,220.89,0,16.6,50,161,49,22,150,120,10.5,8.2,12,7,19,0,355,63.19087104,14.65947105,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.6000061,14128.80957,158,5.346000195,35,430,63.19075939,14.65918598,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,225.48,0,15.1,51,163,47,22,130,130,9.3,7.5,12,8,20,0,355,63.19090012,14.65953584,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.6000061,14134.12988,160,5.243999958,35,418,63.19078764,14.65927315,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,229.41,0,15.1,51,164,0,24,200,150,17.8,11.7,13,8,21,0,355,63.19092896,14.6595811,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,362.7999878,14139.57031,161,5.243999958,34,405,63.19081848,14.65934867,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,233.85,0,16,50,164,0,24,200,150,17.8,11.7,12,7,19,0,355,63.19096349,14.65962569,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363,14144.11035,163,5.197000027,34,398,63.19084916,14.6594169,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
2113,04/06/2024 14:39,238.27,0,16,43,165,0,24,140,0,10.3,0,11,5,16,0,355,63.19099819,14.65966861,,Running,2024-06-04T12:55:56.000Z,2024-06-04T14:38:42.000Z,315.85,1000,6.876999855,57,167,187,Active,Manual,04/06/2024 14:39,363.3999939,14148.78027,164,5.178999901,34,395,63.19088495,14.65946945,3.165999889,33,91,322,618,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,FFFFFF,1,3,3
