sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-5NR
2124,1717745293,0.0,0.0,0.5,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.19031087681651,14.657736495137215,
2124,1717745294,0.63,0.0,2.1,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,367.0,63.19031087681651,14.657748648896813,
2124,1717745295,0.89,0.0,1.9,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,367.0,63.19031087681651,14.657752169296145,
2124,1717745296,1.15,0.0,1.8,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,24.0,0.0,367.0,63.19030920043588,14.657755605876446,
2124,1717745297,1.41,0.0,1.7,8.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,34.0,0.0,366.0,63.19030744023621,14.657755605876446,
2124,1717745298,1.67,0.0,1.5,8.0,85.0,57.0,1.0,230.0,240.0,20.9,17.4,18.0,13.0,31.0,0.0,366.0,63.190305680036545,14.657755605876446,
2124,1717745299,2.37,0.0,2.6,8.0,85.0,0.0,2.0,250.0,240.0,18.4,15.0,11.0,7.0,18.0,0.0,366.0,63.190301321446896,14.657754432410002,
2124,1717745300,2.56,0.0,1.9,2.0,90.0,0.0,2.0,250.0,240.0,18.4,15.0,4.0,2.0,6.0,0.0,366.0,63.19029964506626,14.657754432410002,
2124,1717745301,2.76,0.0,1.3,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,366.0,63.190297884866595,14.657754432410002,
2124,1717745302,2.95,0.0,0.7,0.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029620848596,14.657755270600319,
2124,1717745303,3.03,0.0,0.7,0.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029553793371,14.657755941152573,
2124,1717745304,3.1,0.0,0.8,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.190294951200485,14.657756527885795,
2124,1717745305,3.18,0.0,0.8,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029436446726,14.657757198438048,
2124,1717745306,3.26,0.0,0.8,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029369391501,14.65775778517127,
2124,1717745307,3.33,0.0,0.8,0.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029310718179,14.657758455723524,
2124,1717745308,3.41,0.0,0.8,0.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.190292520448565,14.657759042456746,
2124,1717745309,3.48,0.0,0.8,0.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029184989631,14.657759713009,
2124,1717745310,3.56,0.0,0.9,0.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029126316309,14.657760299742222,
2124,1717745311,3.63,0.0,0.9,0.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.190291011705995,14.657760970294476,
2124,1717745312,3.78,0.0,1.0,0.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.190291011705995,14.657763820141554,
2124,1717745313,3.92,0.0,1.1,0.0,96.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.190291011705995,14.657766669988632,
2124,1717745314,4.07,0.0,1.2,0.0,96.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029117934406,14.65776951983571,
2124,1717745315,4.21,0.0,1.3,0.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029143080115,14.657772369682789,
2124,1717745316,4.35,0.0,1.4,0.0,93.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029143080115,14.657775219529867,
2124,1717745317,4.5,0.0,1.5,0.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19029143080115,14.657778069376945,
2124,1717745318,4.92,0.0,0.6,0.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.1902907602489,14.657784942537546,
