sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-15NR
2420,1725632776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,369.0,63.19037131033838,14.657644713297486,
2420,1725632777,0.09,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,369.0,63.19037131033838,14.657646222040057,
2420,1725632778,0.17,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,369.0,63.19037131033838,14.657647730782628,
2420,1725632779,0.26,0.0,0.4,1.0,0.0,0.0,0.0,410.0,0.0,34.4,0.0,12.0,0.0,12.0,0.0,368.0,63.19037097506225,14.657649239525199,
2420,1725632780,0.34,0.0,0.6,1.0,0.0,0.0,1.0,120.0,0.0,6.2,0.0,6.0,0.0,6.0,0.0,368.0,63.190370639786124,14.657650832086802,
2420,1725632781,0.43,0.0,0.7,0.0,0.0,0.0,1.0,120.0,0.0,6.2,0.0,3.0,0.0,3.0,0.0,368.0,63.19037030451,14.657652340829372,
2420,1725632782,0.51,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,367.0,63.19036996923387,14.657653849571943,
2420,1725632783,1.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19036594592035,14.657657789066434,
2420,1725632784,1.37,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19036301225424,14.657661141827703,
2420,1725632785,1.85,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,63.19035907275975,14.657664662227035,
2420,1725632786,2.44,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.19035387597978,14.657664829865098,
2420,1725632787,2.66,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19035178050399,14.65766491368413,
2420,1725632788,2.89,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,63.19034976884723,14.65766491368413,
2420,1725632789,3.12,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,63.190347757190466,14.657665081322193,
2420,1725632790,3.34,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,63.19034566171467,14.657665165141225,
2420,1725632791,3.57,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19034566171467,14.657665332779288,
2420,1725632792,3.75,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19034566171467,14.657668601721525,
2420,1725632793,4.13,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19034633226693,14.657674552872777,
2420,1725632794,4.59,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.190349182114005,14.657681426033378,
2420,1725632795,5.08,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19035152904689,14.657689640298486,
2420,1725632796,5.62,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19035421125591,14.65769860893488,
2420,1725632797,6.25,0.0,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19035421125591,14.657710762694478,
2420,1725632798,7.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,63.19035421125591,14.657725933939219,
